ms_today,input_voltage,temp_mos_max,temp_mos_1,temp_mos_2,temp_mos_3,temp_motor,current_motor,current_in,d_axis_current,q_axis_current,erpm,duty_cycle,amp_hours_used,amp_hours_charged,watt_hours_used,watt_hours_charged,tachometer,tachometer_abs,encoder_position,fault_code,vesc_id,d_axis_voltage,q_axis_voltage,ms_today_setup,amp_hours_setup,amp_hours_charged_setup,watt_hours_setup,watt_hours_charged_setup,battery_level,battery_wh_tot,current_in_setup,current_motor_setup,speed_meters_per_sec,tacho_meters,tacho_abs_meters,num_vescs,ms_today_imu,roll,pitch,yaw,accX,accY,accZ,gyroX,gyroY,gyroZ,gnss_posTime,gnss_lat,gnss_lon,gnss_alt,gnss_gVel,gnss_vVel,gnss_hAcc,gnss_vAcc,
26230972,12.2,36,0,0,0,-75.2,0.08,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.008,0,89,0.015,0.012,26230953,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.01,0,586.276,594.119,1,26230967,0.0116555,0.00742771,-2.37702,-0.00683594,-0.0117188,1.05322,-0.183105,-0.305176,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26230993,12.2,36,0,0,0,-75.3,0.09,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.032,0,89,0.015,0.012,26230977,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.05,0,586.276,594.119,1,26230989,0.0118125,0.00668037,-2.37701,-0.0078125,-0.00976563,1.04346,-0.366211,-0.366211,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231011,12.3,36,0,0,0,-75.3,0.08,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.017,0,89,0.015,0.012,26230998,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.06,0,586.276,594.119,1,26231008,0.0108589,0.00727143,-2.37694,-0.0078125,-0.00927734,1.04443,-0.305176,-0.183105,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231038,12.2,36.1,0,0,0,-75.3,0.07,0,-0.07,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.008,0,89,0.016,0.012,26231017,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.11,0,586.276,594.119,1,26231037,0.00941806,0.00706948,-2.37689,-0.00732422,-0.00976563,1.04004,-0.0610352,-0.244141,-0.183105,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231056,12.3,36,0,0,0,-75.2,0.08,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.007,0,89,0.015,0.012,26231038,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.05,0,586.276,594.119,1,26231050,0.0105359,0.00670863,-2.37685,-0.00634766,-0.0112305,1.04541,-0.183105,-0.12207,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231076,12.2,36,0,0,0,-75.3,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.018,0,89,0.015,0.012,26231058,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.03,0,586.276,594.119,1,26231070,0.0105345,0.00722434,-2.37681,-0.00683594,-0.0161133,1.04883,-0.12207,-0.366211,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231097,12.2,36.1,0,0,0,-75.3,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.037,0,89,0.015,0.012,26231079,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.09,0,586.276,594.119,1,26231092,0.0128393,0.00781779,-2.37678,-0.00878906,-0.0136719,1.04883,-0.427246,-0.366211,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231117,12.2,36.1,0,0,0,-75.1,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.025,0,89,0.015,0.012,26231099,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.12,0,586.276,594.119,1,26231113,0.0131268,0.00876228,-2.37676,-0.00976563,-0.0136719,1.05566,-0.305176,-0.244141,-0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231138,12.2,36.1,0,0,0,-74.9,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270,0,89,0.016,0.012,26231119,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.05,0,586.276,594.119,1,26231138,0.0127523,0.00749852,-2.3767,-0.0078125,-0.00927734,1.03809,-0.305176,-0.12207,-0.244141,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231158,12.2,36.1,0,0,0,-74.9,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.019,0,89,0.015,0.012,26231140,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.08,0,586.276,594.119,1,26231158,0.0131257,0.00879173,-2.37668,-0.00927734,-0.0136719,1.05078,0.0610352,-0.183105,-0.183105,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231180,12.2,36,0,0,0,-75,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.026,0,89,0.015,0.012,26231159,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.09,0,586.276,594.119,1,26231177,0.0113862,0.00807262,-2.37667,-0.00732422,-0.012207,1.0459,0.183105,-0.366211,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231205,12.3,36,0,0,0,-74.9,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.033,0,89,0.015,0.012,26231182,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.14,0,586.276,594.119,1,26231200,0.0123709,0.00699036,-2.37665,-0.00634766,-0.0141602,1.04346,-0.305176,-0.244141,-0.244141,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231225,12.3,36,0,0,0,-75,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.031,0,89,0.016,0.012,26231207,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.11,0,586.276,594.119,1,26231220,0.012157,0.00763476,-2.37663,-0.00830078,-0.0141602,1.05371,-0.244141,-0.366211,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231264,12.2,36,0,0,0,-74.9,0.07,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.031,0,89,0.015,0.012,26231226,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0,0,586.276,594.119,1,26231261,0.0125482,0.00651938,-2.37659,-0.00585938,-0.0102539,1.04102,-0.12207,-0.244141,0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231284,12.2,36,0,0,0,-74.7,0.07,0,-0.07,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.013,0,89,0.015,0.012,26231267,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.18,0,586.276,594.119,1,26231280,0.0121577,0.00623557,-2.37658,-0.00634766,-0.0141602,1.04932,-0.0610352,-0.12207,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231306,12.2,36,0,0,0,-74.8,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.028,0,89,0.015,0.013,26231286,0.0973,0.0024,1.219,0.0307,0.917,51.916,0,0.12,0,586.276,594.119,1,26231301,0.0127217,0.00848825,-2.3765,-0.00878906,-0.0131836,1.04688,-0.183105,-0.12207,-0.244141,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231326,12.2,36.1,0,0,0,-74.8,0.09,0,-0.09,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.012,0,89,0.015,0.012,26231308,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.08,0,586.276,594.119,1,26231321,0.0121851,0.00848923,-2.37651,-0.00830078,-0.012207,1.05469,-0.244141,-0.183105,0.12207,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231345,12.2,36,0,0,0,-74.9,0.08,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.067,0,89,0.015,0.012,26231328,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.22,0,586.276,594.119,1,26231342,0.0119984,0.00679834,-2.37647,-0.00732422,-0.0131836,1.05176,-0.244141,-0.427246,-0.183105,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231367,12.2,36,0,0,0,-74.7,0.08,0,-0.08,0.02,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.02,0,89,0.015,0.012,26231348,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.07,0,586.276,594.119,1,26231362,0.011955,0.00634755,-2.37648,-0.00878906,-0.00976563,1.04541,-0.488281,-0.305176,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231387,12.2,36,0,0,0,-74.9,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.031,0,89,0.015,0.012,26231369,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.05,0,586.276,594.119,1,26231385,0.0125149,0.00648534,-2.3764,-0.00585938,-0.012207,1.04395,-0.12207,-0.12207,0,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
26231406,12.2,36.1,0,0,0,-75.1,0.08,0,-0.08,0.03,0,0,0.0973,0.0024,1.219,0.0307,283299,287089,270.002,0,89,0.015,0.012,26231389,0.0973,0.0024,1.219,0.0307,0.917,51.917,0,0.09,0,586.276,594.119,1,26231403,0.0108558,0.0074087,-2.37632,-0.00683594,-0.00927734,1.0376,-0.305176,-0.12207,-0.0610352,-1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,
